TEXT,DEPART,DESTINATION,ERROR
Comment va t'on de Montpellier à Nice?,Montpellier,Nice,false
Nous roulons en voiture,none,none,true
Marseille à Bordeaux,Marseille,Bordeaux,false
Depart Brest arrivée Ajaccio,Brest,Ajaccio,false
Il me faut un train pour Toulon depuis Marseille,Marseille,Toulon,false
Arrivée à Strasbourg en partant de Clermont-ferrand,Strasbourg,Clermont-ferrand,false
Quel train dois-je prendre pour un Beziers-Montpellier,Beziers,Montpellier,false
Y'a t-il un train partant de Limoges en direction de Paris,Limoges,Paris,false
Y'a t-il un train en direction de Auxerre et partant de Cannes,Cannes,Auxerre,false
Quelle est le chemin le plus court pour faire Montpellier à Rennes,Montpellier,Rennes,false
Et si je dois partir de Narbonne pour Rennes?,Narbonne,Rennes,false
Quel train va à Strasbourg depuis Narbonne?,Narbonne,Strasbourg,false
Je pars de Toulouse. Quel est le chemin le plus opti pour aller à Nice?,Toulouse,Nice,false
Je pars d'Avignon et je me dirige à Grenoble,Avignon,Grenoble,false
Combien de temps pour un train partant de Paris à destination de Carcassone?,Paris,Carcassone,false
C'est une catastrophe mon train est annulé. Je devais faire Rennes à Montpellier demain soir mais je ne sais pas comment faire.,Rennes,Montpellier,false
Comment dois-je m'y prendre pour aller de Lille à Pau?,Lille,Pau,false
Quel est le meilleur itinéraire pour aller de Montpellier à Béziers en passant par Nantes?,Montpellier,Béziers,false
j'aimerais partir de Béziers et passer par biarritz pour me rendre à Marseille.,Béziers,Marseille,false
arrivée Grenoble et départ Orleans,Orleans,Grenoble,false
Je souhaite aller à Lyon en partant de La Rochelle,La Rochelle,Lyon,false
Comment va t'on de Lyon à Nice?,Lyon,Nice,false
Affiche moi les trains qui vont de Toulouse à Brest,Toulouse,Brest,false
Je me demande comment je pourrais aller à Strasbourg en partant de chez moi de Montpellier,Montpellier,Strasbourg,false
J'ai un seminaire d'entreprise demain il faut que je prenne le train en direction de Nantes à 17h54 mais j'ai pas trouvé de train qui part de Narbonne donc je dois partir Bordeaux,Bordeaux,Nantes,false
Ajaccio à Bordeaux,Ajaccio,Bordeaux,false
Depart Lyon arrivée Ajaccio,Lyon,Ajaccio,false
Je veux partir de Coppet à St-Gervais-L-B-Le-Fayet,Coppet,St-Gervais-L-B-Le-Fayet,false
Je veux partir de Cluses à Coppet,Cluses,Coppet,false
Le chemin le plus court pour Dijon depuis Lille?,Lille,Dijon,false
Je veux partir de Forbach à Metz-Ville,Forbach,Metz-Ville,false
Je veux partir de Bening à Metz-Ville,Bening,Metz-Ville,false
Emmène moi de St-Gervais-L-B-Le-Fayet à Coppet,St-Gervais-L-B-Le-Fayet,Coppet,false
Emmène moi de Coppet à Cluses,Coppet,Cluses,false
Emmène moi de Metz-Ville à Forbach,Metz-Ville,Forbach,false
Emmène moi de Metz-Ville à Bening,Metz-Ville,Bening,false
Comment dois-je m'y prendre pour aller de Paris-Bercy à Nevers,Paris-Bercy,Nevers,false
Comment dois-je m'y prendre pour aller de Tours à Lyon-Perrache,Tours,Lyon-Perrache,false
Le chemin le plus court pour La Rochelle depuis Lille?,Lille,La Rochelle,false
Comment dois-je m'y prendre pour aller de Nevers à Lyon-Perrache,Nevers,Lyon-Perrache,false
Comment dois-je m'y prendre pour aller de Villefranche-Vernet-l.B à Latour-de-Carol-Enveitg,Villefranche-Vernet-l.B,Latour-de-Carol-Enveitg,false
Comment dois-je m'y prendre pour aller de Metz-Ville à Bening,Metz-Ville,Bening,false
Quel est le meilleur itinéraire pour aller de Boulogne à Amiens,Boulogne,Amiens,false
Quel est le meilleur itinéraire pour aller de Paris à Amiens,Paris,Amiens,false
Quel est le meilleur itinéraire pour aller de Paris à Cambrai,Paris,Cambrai,false
Quel est le meilleur itinéraire pour aller de Paris à Maubeuge,Paris,Maubeuge,false
Je ne sais pas si les grève vont impacté mon trajet habituelle de Pau à Perpignan,Pau,Perpignan,false
Je dois me rendre à Paris depuis Marseille. Quel est le meilleur moyen de transport pour s'y rendre?,Marseille,Paris,false
Je vais à Marseille depuis Toulouse. Quel est le meilleur train à prendre?,Toulouse,Marseille,false
Je pars de Lyon demain matin pour aller à Paris. Quelqu'un peut-il me recommander un bon itinéraire?,Lyon,Paris,false
Je viens de Bordeaux et je me rends à Marseille pour la première fois. Tu peux me conseiller un moyen de transport?,Bordeaux,Marseille,false
Je vais à Paris depuis Toulouse. Quel est le meilleur moyen de transport pour s'y rendre?,Toulouse,Paris,false
Je pars de Marseille pour aller à Lyon. Est-ce que tu connais un bon itinéraire?,Marseille,Lyon,false
Je vais à Marseille en train depuis Bordeaux. Est-ce que tu sais combien de temps dure le trajet?,Bordeaux,Marseille,false
Je ne sais pas quoi faire. Il me faut un moyen de transport allant à Lyon depuis Toulouse. Quels sont mes options?,Toulouse,Lyon,false
Je dois me rendre à Marseille depuis Paris. Quel est le meilleur moyen de transport pour s'y rendre?,Paris,Marseille,false
Je pars de Lyon pour aller à Marseille. J'ai entendu dire qu'il y avait des bus qui font le trajet. Est-ce vrai?,Lyon,Marseille,false
Je vais à Paris depuis Marseille. Quel est le meilleur moyen de transport pour s'y rendre?,Marseille,Paris,false
Je pars de Toulouse demain matin pour aller à Lyon. Quelqu'un peut-il me recommander un bon itinéraire?,Toulouse,Lyon,false
Je viens de Bordeaux et je me rends à Paris pour la première fois. Tu peux me conseiller un moyen de transport?,Bordeaux,Paris,false
Je vais à Marseille depuis Lyon. Quel est le meilleur moyen de transport pour s'y rendre?,Lyon,Marseille,false
Je pars de Paris pour aller à Toulouse. Est-ce que tu connais un bon itinéraire?,Paris,Toulouse,false
Je vais à Marseille en train depuis Lyon. Est-ce que tu sais combien de temps dure le trajet?,Lyon,Marseille,false
Je vais à Lyon depuis Toulouse. Quel est le meilleur moyen de transport pour s'y rendre?,Toulouse,Lyon,false
Je pars de Marseille pour aller à Paris. Est-ce que tu connais un bon itinéraire?,Marseille,Paris,false
Je vais à Bordeaux en train depuis Toulouse. Est-ce que tu sais combien de temps dure le trajet?,Toulouse,Bordeaux,false
Je ne sais pas quoi faire. Il me faut un moyen de transport allant à Marseille depuis Lyon. Quels sont mes options?,Lyon,Marseille,false
Je dois me rendre à Paris depuis Toulouse. Quel est le meilleur moyen de transport pour s'y rendre?,Toulouse,Paris,false
Je pars de Bordeaux pour aller à Marseille. J'ai entendu dire qu'il y avait des bus qui font le trajet. Est-ce vrai?,Bordeaux,Marseille,false
Je vais à Toulouse depuis Marseille. Quel est le meilleur moyen de transport pour s'y rendre?,Marseille,Toulouse,false
Je vais à Lyon depuis Marseille. Quel est le meilleur moyen de transport pour s'y rendre?,Marseille,Lyon,false
Je pars de Toulouse pour aller à Paris. Est-ce que tu connais un bon itinéraire?,Toulouse,Paris,false
Je vais à Bordeaux en train depuis Lyon. Est-ce que tu sais combien de temps dure le trajet?,Lyon,Bordeaux,false
Je ne sais pas quoi faire. Il me faut un moyen de transport allant à Marseille depuis Paris. Quels sont mes options?,Paris,Marseille,false
Je dois me rendre à Toulouse depuis Bordeaux. Quel est le meilleur moyen de transport pour s'y rendre?,Bordeaux,Toulouse,false
Je pars de Marseille pour aller à Lyon. J'ai entendu dire qu'il y avait des bus qui font le trajet. Est-ce vrai?,Marseille,Lyon,false
Je vais à Paris depuis Toulouse. Quel est le meilleur moyen de transport pour s'y rendre?,Toulouse,Paris,false
Je pars de Bordeaux demain matin pour aller à Marseille. Quelqu'un peut-il me recommander un bon itinéraire?,Bordeaux,Marseille,false
Je suis en train de planifier mon voyage de Toulouse à Lyon. Quelle est la meilleure option de transport?,Toulouse,Lyon,false
Je vais à Bordeaux depuis Marseille. Quelle est la durée du voyage en train?,Marseille,Bordeaux,false
Je suis à la recherche d'un moyen de transport pour aller de Lyon à Paris. Quelles sont mes options?,Lyon,Paris,false
Je vais à Toulouse depuis Bordeaux. Quel est le meilleur moyen de transport pour s'y rendre?,Bordeaux,Toulouse,false
Je suis en train de planifier mon voyage de Marseille à Lyon. Quelle est la meilleure option de transport?,Marseille,Lyon,false
Je vais à Paris depuis Toulouse. Quelle est la durée du voyage en train?,Toulouse,Paris,false
Je suis à la recherche d'un moyen de transport pour aller de Bordeaux à Marseille. Quelles sont mes options?,Bordeaux,Marseille,false
Je vais à Lyon depuis Paris. Quel est le meilleur moyen de transport pour s'y rendre?,Paris,Lyon,false
Je suis en train de planifier mon voyage de Toulouse à Paris. Quelle est la meilleure option de transport?,Toulouse,Paris,false
Je vais à Marseille depuis Bordeaux. Quelle est la durée du voyage en train?,Bordeaux,Marseille,false
Je suis à la recherche d'un moyen de transport pour aller de Lyon à Toulouse. Quelles sont mes options?,Lyon,Toulouse,false
Je vais à Paris depuis Marseille. Quel est le meilleur moyen de transport pour s'y rendre?,Marseille,Paris,false
Je suis en train de planifier mon voyage de Bordeaux à Marseille. Quelle est la meilleure option de transport?,Bordeaux,Marseille,false
Je vais à Lyon depuis Toulouse. Quelle est la durée du voyage en train?,Toulouse,Lyon,false
Je suis à la recherche d'un moyen de transport pour aller de Paris à Toulouse. Quelles sont mes options?,Paris,Toulouse,false
Je vais à Marseille depuis Lyon. Quel est le meilleur moyen de transport pour s'y rendre?,Lyon,Marseille,false
Je pars en voyage à Marseille depuis Bordeaux. Quel est le meilleur moyen de transport?,Bordeaux,Marseille,false
Je vais à Lyon pour la première fois. Quel est le meilleur moyen de transport depuis Toulouse?,Toulouse,Lyon,false
Je suis en train de planifier mon voyage de Marseille à Paris. Quel est le meilleur itinéraire?,Marseille,Paris,false
Je dois aller à Toulouse depuis Lyon. Quel est le meilleur moyen de transport?,Lyon,Toulouse,false
Je pars en voyage à Bordeaux depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Bordeaux,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Toulouse?,Toulouse,Paris,false
Je suis en train de planifier mon voyage de Lyon à Marseille. Quel est le meilleur itinéraire?,Lyon,Marseille,false
Je dois aller à Bordeaux depuis Paris. Quel est le meilleur moyen de transport?,Paris,Bordeaux,false
Je pars en voyage à Toulouse depuis Lyon. Quel est le meilleur moyen de transport?,Lyon,Toulouse,false
Je vais à Marseille pour la première fois. Quel est le meilleur moyen de transport depuis Bordeaux?,Bordeaux,Marseille,false
Je suis en train de planifier mon voyage de Toulouse à Lyon. Quel est le meilleur itinéraire?,Toulouse,Lyon,false
Je dois aller à Paris depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Paris,false
Je pars en voyage à Lyon depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Lyon,false
Je vais à Bordeaux pour la première fois. Quel est le meilleur moyen de transport depuis Paris?,Paris,Bordeaux,false
Je suis en train de planifier mon voyage de Marseille à Toulouse. Quel est le meilleur itinéraire?,Marseille,Toulouse,false
Je dois aller à Lyon depuis Bordeaux. Quel est le meilleur moyen de transport?,Bordeaux,Lyon,false
Je pars en voyage à Marseille depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Marseille,false
Je vais à Lyon pour la première fois. Quel est le meilleur moyen de transport depuis Bordeaux?,Bordeaux,Lyon,false
Je suis en train de planifier mon voyage de Toulouse à Paris. Quel est le meilleur itinéraire?,Toulouse,Paris,false
Je dois aller à Marseille depuis Lyon. Quel est le meilleur moyen de transport?,Lyon,Marseille,false
Je pars en voyage à Bordeaux depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Bordeaux,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Marseille?,Marseille,Paris,false
Je suis en train de planifier mon voyage de Lyon à Toulouse. Quel est le meilleur itinéraire?,Lyon,Toulouse,false
Je dois aller à Bordeaux depuis Paris. Quel est le meilleur moyen de transport?,Paris,Bordeaux,false
Je pars en voyage à Toulouse depuis Lyon. Quel est le meilleur moyen de transport?,Lyon,Toulouse,false
Je vais à Marseille pour la première fois. Quel est le meilleur moyen de transport depuis Bordeaux?,Bordeaux,Marseille,false
Je suis en train de planifier mon voyage de Toulouse à Lyon. Quel est le meilleur itinéraire?,Toulouse,Lyon,false
Je dois aller à Paris depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Paris,false
Je pars en voyage à Lyon depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Lyon,false
Je vais à Bordeaux pour la première fois. Quel est le meilleur moyen de transport depuis Paris?,Paris,Bordeaux,false
Je suis en train de planifier mon voyage de Marseille à Toulouse. Quel est le meilleur itinéraire?,Marseille,Toulouse,false
Je dois aller à Lyon depuis Bordeaux. Quel est le meilleur moyen de transport?,Bordeaux,Lyon,false
Je pars en voyage à Marseille depuis Lyon. Quel est le meilleur moyen de transport?,Lyon,Marseille,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Toulouse?,Toulouse,Paris,false
Je suis en train de planifier mon voyage de Lyon à Bordeaux. Quel est le meilleur itinéraire?,Lyon,Bordeaux,false
Je dois aller à Toulouse depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Toulouse,false
Je pars en voyage à Bordeaux depuis Lyon. Quel est le meilleur moyen de transport?,Lyon,Bordeaux,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Toulouse?,Toulouse,Paris,false
Je suis en train de planifier mon voyage de Toulouse à Marseille. Quel est le meilleur itinéraire?,Toulouse,Marseille,false
Je pars en voyage à Lyon depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Lyon,false
Je vais à Marseille pour la première fois. Quel est le meilleur moyen de transport depuis Paris?,Paris,Marseille,false
Je suis en train de planifier mon voyage de Toulouse à Bordeaux. Quel est le meilleur itinéraire?,Toulouse,Bordeaux,false
Je dois aller à Lyon depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Lyon,false
Je pars en voyage à Bordeaux depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Bordeaux,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Lyon?,Lyon,Paris,false
Je suis en train de planifier mon voyage de Lyon à Toulouse. Quel est le meilleur itinéraire?,Lyon,Toulouse,false
Je dois aller à Bordeaux depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Bordeaux,false
Je pars en voyage à Bordeaux depuis Marseille. Quel est le meilleur moyen de transport?,Marseille,Bordeaux,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Toulouse?,Toulouse,Paris,false
Je suis en train de planifier mon voyage de Toulouse à Lyon. Quel est le meilleur itinéraire?,Toulouse,Lyon,false
Je dois aller à Marseille depuis Bordeaux. Quel est le meilleur moyen de transport?,Bordeaux,Marseille,false
Je pars en voyage à Lyon depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Lyon,false
Je vais à Paris pour la première fois. Quel est le meilleur moyen de transport depuis Lyon?,Lyon,Paris,false
Je suis en train de planifier mon voyage de Lyon à Marseille. Quel est le meilleur itinéraire?,Lyon,Marseille,false
Je dois aller à Bordeaux depuis Toulouse. Quel est le meilleur moyen de transport?,Toulouse,Bordeaux,false
Je pars en voyage à Toulouse depuis Bordeaux. Quel est le meilleur moyen de transport?,Bordeaux,Toulouse,false
Je suis en train de planifier mon voyage à Marseille depuis Toulouse. Quelle est la durée du voyage?,Toulouse,Marseille,false
Je dois aller à Paris depuis Lyon. Quelle est la durée du voyage?,Lyon,Paris,false
Je pars en voyage à Bordeaux depuis Marseille. Quelle est la durée du voyage?,Marseille,Bordeaux,false
Je vais à Lyon pour la première fois. Quelle est la durée du voyage depuis Toulouse?,Toulouse,Lyon,false
Je suis en train de planifier mon voyage à Toulouse depuis Lyon. Quelle est la durée du voyage?,Lyon,Toulouse,false
Je dois aller à Marseille depuis Bordeaux. Quelle est la durée du voyage?,Bordeaux,Marseille,false
Je pars en voyage à Paris depuis Toulouse. Quelle est la durée du voyage?,Toulouse,Paris,false
Je vais à Lyon pour la première fois. Quelle est la durée du voyage depuis Marseille?,Marseille,Lyon,false
Je suis en train de planifier mon voyage à Bordeaux depuis Paris. Quelle est la durée du voyage?,Paris,Bordeaux,false
Je dois aller à Toulouse depuis Lyon. Quelle est la durée du voyage?,Lyon,Toulouse,false
Je pars en voyage à Marseille depuis Bordeaux. Quelle est la durée du voyage?,Bordeaux,Marseille,false
Je vais à Paris pour la première fois. Quelle est la durée du voyage depuis Toulouse?,Toulouse,Paris,false
Je suis en train de planifier mon voyage à Toulouse depuis Bordeaux. Quelle est la durée du voyage?,Bordeaux,Toulouse,false
Je dois aller à Lyon depuis Marseille. Quelle est la durée du voyage?,Marseille,Lyon,false
Je pars en voyage à Bordeaux depuis Toulouse. Quelle est la durée du voyage?,Toulouse,Bordeaux,false
Je vais à Paris pour la première fois. Quelle est la durée du voyage depuis Lyon?,Lyon,Paris,false
J'ai un seminaire d'entreprise demain il faut que je prenne le train en direction de Gare de Marle-sur-Serre à 17h54 mais j'ai pas trouvé de train qui part de Narbonne donc je dois partir Gare de Kruth,Gare de Kruth,Gare de Marle-sur-Serre,false
Je pars en voyage à Gare de Ax-les-Thermes depuis Gare de St-Sulpice (Tarn). Quelle est la durée du voyage?,Gare de St-Sulpice (Tarn),Gare de Ax-les-Thermes,false
Emmène moi de Gare de Corbigny à Luçay-le-Male,Gare de Corbigny,Luçay-le-Male,false
Je pars de Gare de St-Denis-près-Martel. Quel est le chemin le plus opti pour aller à Gare de Albens?,Gare de St-Denis-près-Martel,Gare de Albens,false
Je vais à Gare de Veigné depuis Gare de Landau-Pfalz-Hbf. Quel est le meilleur moyen de transport pour s'y rendre?,Gare de Landau-Pfalz-Hbf,Gare de Veigné,false
Je suis à la recherche d'un moyen de transport pour aller de Aubenas-Pl.-de-la-Paix à Gare de Limoux. Quelles sont mes options?,Aubenas-Pl.-de-la-Paix,Gare de Limoux,false
Y'a t-il un train qui va de Gare de St-Raphaël-Valescure à Gare de Argentan?,Gare de St-Raphaël-Valescure,Gare de Argentan,false
Je vais à Gare de Calais Fréthun depuis Hombourg (Chapelle). Quel est le meilleur moyen de transport pour s'y rendre?,Hombourg (Chapelle),Gare de Calais Fréthun,false
Je vais à Herbitzheim R. Hambach pour la première fois. Quelle est la durée du voyage depuis Gare de L'Isle-Jourdain (Gers)?,Gare de L'Isle-Jourdain (Gers),Herbitzheim R. Hambach,false
arrivée Reipertswiller-SP. et départ Gare de Janzé,Gare de Janzé,Reipertswiller-SP.,false
Je veux aller de Gare de Neussargues à Gare de Lunel.,Gare de Neussargues,Gare de Lunel,false
Je pars d'Gare de Carmaux et je me dirige à Gare de Brest,Gare de Carmaux,Gare de Brest,false
Je suis en train de planifier mon voyage à Gare de La-Rochelle-Pt-Dauphine depuis Gare de Gap. Quelle est la durée du voyage?,Gare de Gap,Gare de La-Rochelle-Pt-Dauphine,false
Je veux aller de Gare de Massiac-Blesle à Gare de Vierzon.,Gare de Massiac-Blesle,Gare de Vierzon,false
Je suis en train de planifier mon voyage de Gare de Vif à Gare de Fismes. Quel est le meilleur itinéraire?,Gare de Vif,Gare de Fismes,false
Je pars en voyage à Gare de Vif depuis Gare de Aulnoye Aymeries. Quel est le meilleur moyen de transport?,Gare de Aulnoye Aymeries,Gare de Vif,false
Je pars de Chauffailles-Gambetta pour aller à Gare de Chagny. J'ai entendu dire qu'il y avait des bus qui font le trajet. Est-ce vrai?,Chauffailles-Gambetta,Gare de Chagny,false
Je suis en train de planifier mon voyage de Gare de Chantonnay à Gare de Beslé. Quel est le meilleur itinéraire?,Gare de Chantonnay,Gare de Beslé,false
Putain ce téléphone fais que bugger la je veux juste aller de Gare de Mons à Clion-sur-Indre c'est pas possible ça,Gare de Mons,Clion-sur-Indre,false
Je suis en train de planifier mon voyage de Marvejols Place Chayla à Gare de Abbeville. Quel est le meilleur itinéraire?,Marvejols Place Chayla,Gare de Abbeville,false
Trajet Gare de Aix-les-Bains-le-Revard Gare de Le Buisson,Gare de Aix-les-Bains-le-Revard,Gare de Le Buisson,false
Je pars de Riquewihr-Poste pour aller à Gare de Champagnole-PE-Victor. Est-ce que tu connais un bon itinéraire?,Riquewihr-Poste,Gare de Champagnole-PE-Victor,false
Je vais à Haguenau-Moulin-Neuf. pour la première fois. Quel est le meilleur moyen de transport depuis Argentine?,Argentine,Haguenau-Moulin-Neuf.,false
Je vais à Gare de Douai pour la première fois. Quel est le meilleur moyen de transport depuis Gare de Gannat?,Gare de Gannat,Gare de Douai,false
Quel est le meilleur itinéraire pour aller de Bruyères (Vosges) à Gare de Guingamp,Bruyères (Vosges),Gare de Guingamp,false
Je me demande comment je pourrais aller à Gare de Port-Bou en partant de chez moi de Bruyères Chanzy Gare,Bruyères Chanzy Gare,Gare de Port-Bou,false
je veux un train pour aller a Gare de Conflans-Jarny en partant de Grandris-Centre,Grandris-Centre,Gare de Conflans-Jarny,false
Je vais à Gare de WOERTH RHEIN en train depuis Dossenheim-(Mairie). Est-ce que tu sais combien de temps dure le trajet?,Dossenheim-(Mairie),Gare de WOERTH RHEIN,false
Je suis en train de planifier mon voyage de Gare de Modane à Normandie - Gare de Serquigny. Quel est le meilleur itinéraire?,Gare de Modane,Normandie - Gare de Serquigny,false
Je pars de Gare de Aix-en-Provence pour aller à Gare de Montmédy. J'ai entendu dire qu'il y avait des bus qui font le trajet. Est-ce vrai?,Gare de Aix-en-Provence,Gare de Montmédy,false
Je vais à Gare de Pagny-sur-Moselle pour la première fois. Quel est le meilleur moyen de transport depuis Gare de Argenton-sur-Creuse?,Gare de Argenton-sur-Creuse,Gare de Pagny-sur-Moselle,false
Je vais à Gare de Cluses (Hte-Savoie) pour la première fois. Quel est le meilleur moyen de transport depuis Gare de Neussargues?,Gare de Neussargues,Gare de Cluses (Hte-Savoie),false
arrivée Gare de Bressuire et départ Rambervillers,Rambervillers,Gare de Bressuire,false
Je vais à Gare de Givet depuis Gare de St-Germain-des-Fossés. Quel est le meilleur moyen de transport pour s'y rendre?,Gare de St-Germain-des-Fossés,Gare de Givet,false
Je pars en voyage à Gare de Châlons-en-Champagne depuis Gare de Royan. Quel est le meilleur moyen de transport?,Gare de Royan,Gare de Châlons-en-Champagne,false
Je pars en voyage à Gare de Rethel depuis Châteauroux-L-Giraudoux. Quel est le meilleur moyen de transport?,Châteauroux-L-Giraudoux,Gare de Rethel,false
Je suis en train de planifier mon voyage de Gare de Yvetot à Gare de Louhans. Quel est le meilleur itinéraire?,Gare de Yvetot,Gare de Louhans,false
Je vais à Herbitzheim Mairie pour la première fois. Quel est le meilleur moyen de transport depuis Gare de Les Arcs-Draguignan?,Gare de Les Arcs-Draguignan,Herbitzheim Mairie,false
Je vais à Normandie - Gare de Lisieux pour la première fois. Quel est le meilleur moyen de transport depuis Gare de Landau-Pfalz-Hbf?,Gare de Landau-Pfalz-Hbf,Normandie - Gare de Lisieux,false
Je vais à Lugny depuis Gare de Vallon-en-Sully. Quel est le meilleur moyen de transport pour s'y rendre?,Gare de Vallon-en-Sully,Lugny,false
Comment dois-je m'y prendre pour aller de Gare de Plouaret-Trégor à Martigny-les-B-Thiebaut,Gare de Plouaret-Trégor,Martigny-les-B-Thiebaut,false
Je ne sais pas quoi faire. Il me faut un moyen de transport allant à Gare de Veynes-Dévoluy depuis Bruyères (Vosges). Quels sont mes options?,Bruyères (Vosges),Gare de Veynes-Dévoluy,false
Je vais à Saverne-(Ht-Barr) pour la première fois. Quel est le meilleur moyen de transport depuis Gare de Givors-Ville?,Gare de Givors-Ville,Saverne-(Ht-Barr),false
Je vais à Quillan en train depuis Gare de Bourges. Est-ce que tu sais combien de temps dure le trajet?,Gare de Bourges,Quillan,false
Je vais à Gare de Tourcoing en train depuis Gare de Trier-Hbf (Trèves). Est-ce que tu sais combien de temps dure le trajet?,Gare de Trier-Hbf (Trèves),Gare de Tourcoing,false
Emmène moi de Gare de Wissembourg à Gare de Chambéry-Chal.-les-Eaux,Gare de Wissembourg,Gare de Chambéry-Chal.-les-Eaux,false
Je suis en train de planifier mon voyage de Gare de Lens à Gare de Ingwiller. Quel est le meilleur itinéraire?,Gare de Lens,Gare de Ingwiller,false
Je vais à Gare de Château-du-Loir pour la première fois. Quelle est la durée du voyage depuis Gare de Audun-le-Roman?,Gare de Audun-le-Roman,Gare de Château-du-Loir,false
Je vais à Gare de Frasne pour la première fois. Quelle est la durée du voyage depuis Gare de Rochefort?,Gare de Rochefort,Gare de Frasne,false
